feature,coefficient
MedInc,0.3153610744307353
AveRooms,0.10611727339147738
Latitude,-0.09268391221091088
AveBedrms,-0.05677416903515053
AveOccup,-0.048243015677237065
Longitude,0.03049705433029297
HouseAge,0.004493506806248175
Population,-2.5755603356618394e-05
